url,site_name,site_type,cms_or_framework,css_style,js_presence,patterns_present,has_skip_link,focus_visible,og_tags,schema_org,est_img_strategy,perf_weight
https://jonasjoergensen.org,Jonas Jørgensen,Academic Portfolio,WordPress.com,CSS Grid,light,Academic Timeline;Minimal Portfolio Navigation,no,basic,basic implementation,none evident,basic,light
https://www.majasmrekar.org,Maja Smrekar,Academic Portfolio,Squarespace,CSS Grid,med,Minimal Portfolio Grid;Image-First Navigation,no,standard,squarespace defaults,minimal,lazy,med
https://gregoryreardon.com,Gregory Reardon,Research Lab,Jekyll,Platform Default,light,Academic Profile Header;Research Achievement Display;Animated Download Indicators,no,good,basic implementation,json-ld schema,basic,light
http://infosyncratic.nl,Infosyncratic,Portfolio,Unknown,Platform Default,unknown,,unknown,unknown,unknown,unknown,basic,unknown
https://ramakarl.com,Rama Hoetzlein,Academic Portfolio,WordPress Custom,CSS Grid,unknown,Technical Portfolio Grid;Research-Art Integration,no,standard,basic wordpress implementation,none evident,srcset,med
https://mhetrick.com,Michael Hetrick,Artist Portfolio,WordPress.com,Platform Default,light,Dark Professional Theme;Minimal Bio Layout,no,good,wordpress,none evident,basic,light
https://www.adrienejenik.net,Adriene Jenik,Academic Portfolio,Squarespace,CSS Grid,heavy,Multidisciplinary Identity Presentation;Accessibility-First Design;Announcement Bar Pattern,no,standard,squarespace implementation,minimal squarespace defaults,lazy,med
https://macumbista.net,Derek Holzer (Macumbista),Academic Portfolio,WordPress Custom,Platform Default,light,Research Documentation Blog;Minimal Academic Design,no,standard,basic wordpress implementation,none evident,basic,light
http://albertoestevez.es,Alberto Estevez,Portfolio,Unknown,Platform Default,unknown,,unknown,unknown,unknown,unknown,basic,unknown
https://interface.ufg.ac.at/christa-laurent,Christa Laurent & Laurent Mignonneau,Artist Portfolio,Custom HTML/CSS,Platform Default,light,Chronological Art Archive;Minimal Academic Portfolio;Custom Thumbnail Positioning,no,minimal,none evident,none,basic,med
https://raster-media.net,Raster Media,Artist Portfolio,WordPress/WooCommerce,CSS Grid,unknown,Artistic E-commerce Integration;Minimal Monochromatic Design;Newsletter-First Engagement,no,standard,wordpress/woocommerce defaults,json-ld metadata for products/organization,lazy,med
https://casperelectronics.com,Casper Electronics,Experimental Portfolio,WordPress Custom,CSS Grid,unknown,Sophisticated Product Carousels;Accordion Product Specifications;Custom Cursor Interactions;Animated Marquee Elements,no,custom focus states,good product-focused implementation,likely product schema for e-commerce,lazy,heavy
https://www.yeahsnos.com,Yasaman Sheri (Yeah/Nos Studio),Professional Portfolio,Squarespace,Flexbox,light,Interactive Canvas Background;Narrative-Driven Portfolio;Minimal Text-Focused Design,no,standard,squarespace defaults,minimal,basic,med
https://www.lovid.org,LoVid,Artist Portfolio,Static Site,Platform Default,light,Experimental Art Grid;Collaborative Artist Documentation;Minimal Touch-Friendly Portfolio,no,minimal,likely minimal,none evident,basic,heavy
https://www.sharondaniel.net,Sharon Daniel,Academic Portfolio,Squarespace,Platform Default,unknown,Interactive Documentary Interface;Testimonial-Driven Narratives;Multimedia Archive Presentation,no,standard,good for multimedia content sharing,minimal,lazy,heavy
https://emilywhiteprojects.com,Emily White Projects,Artist Portfolio,Cargo Collective,Platform Default,light,Custom Thumbnail Positioning;Fullscreen Gallery Modal;SVG Navigation Icons,no,custom focus states,cargo collective defaults,none evident,basic,heavy
https://www.skyemoret.com,Skye Moret,Research Lab,Cargo Collective,Platform Default,light,Scientific Design Documentation;Adventure-Science Integration,no,custom states,cargo collective defaults,none evident,basic,med
https://sofianaudry.com,Sofian Audry,Research Lab,WordPress/Elementor,CSS Grid,unknown,AI Art Documentation;Bilingual Academic Portfolio;Minimal Tech-Art Aesthetic,no,standard,wordpress with custom optimization,json-ld for artist/researcher profile,lazy,med
https://www.irenekuling.nl,Irene Kuling,Research Lab,WordPress Custom,Platform Default,light,Academic-Community Integration;Multilingual Professional Presence;Clean Sidebar Academic Layout,no,good,basic wordpress implementation,none evident,basic,light
https://www.batdorf.org,Erika Batdorf,Research Lab,Static Site,Flexbox,light,Performance Documentation Structure;Interactive Technique Teaching;Mobile-First Performance Portfolio,no,excellent custom focus states,custom implementation for performance content,json-ld for performing artist profile,basic,light
https://nonstandardstudio.com,Nonstandard Studio,Academic Portfolio,WordPress/Elementor,Platform Default,light,Dark Research Aesthetic;Deep Learning Visualization;Minimal Research Portfolio,no,standard,wordpress with social media integration,none evident,lazy,med
https://mengjiazhu.webflow.io,Mengjia Zhu,Research Lab,Webflow,Platform Default,unknown,Research Publication Cards;Technical Skills Highlighting;Academic Credential Integration,no,standard,webflow defaults with academic optimization,none evident,basic,med
https://www.shashankaswath.com,Shashanka Aswath,Professional Portfolio,Wix Thunderbolt,CSS Grid,unknown,Sophisticated CSS Variable Architecture;Advanced View Transition Animations;Professional Minimalism with Technical Depth,no,excellent custom focus states,wix platform optimization,json-ld schema implementation,basic,med
https://somayehdodge.info,Somayeh Dodge,Research Lab,WordPress Custom,Platform Default,light,Comprehensive Academic Timeline;Research Group Integration;Academic Typography Optimization,no,good,wordpress academic optimization,none evident,basic,light
